nomfichier,ngeste,framedebut,framefin,score
P05_01.mts,1,17,44,4
P05_01.mts,2,44,69,3
P05_01.mts,3,69,92,5
P05_01.mts,4,92,124,4
P05_01.mts,5,124,155,5
P05_01.mts,6,155,181,5
P05_01.mts,7,181,203,5
P05_01.mts,8,203,235,5
P05_01.mts,9,235,280,3
,,,,
P05_02.mts,1,14,37,4.5
P05_02.mts,2,37,48,3
P05_02.mts,3,48,74,0
P05_02.mts,4,74,95,0
P05_02.mts,5,95,122,5
P05_02.mts,6,122,148,3
P05_02.mts,7,148,166,4.5
P05_02.mts,8,166,181,5
P05_02.mts,9,181,231,4
,,,,
P05_03.mts,1,51,64,4
P05_03.mts,2,64,77,0
P05_03.mts,3,77,91,0
P05_03.mts,4,91,103,0
P05_03.mts,5,103,117,5
P05_03.mts,6,117,135,5
P05_03.mts,7,135,145,5
P05_03.mts,8,145,153,0
P05_03.mts,9,153,189,3
,,,,
P05_04.mts,1,52,64,4.5
P05_04.mts,2,64,72,5
P05_04.mts,3,72,84,3
P05_04.mts,4,84,94,4
P05_04.mts,5,94,106,3
P05_04.mts,6,106,119,5
P05_04.mts,7,119,129,4
P05_04.mts,8,129,138,5
P05_04.mts,9,138,172,2
,,,,
P05_05.mts,1,55,64,5
P05_05.mts,2,64,73,5
P05_05.mts,3,73,74,0
P05_05.mts,4,74,88,0
P05_05.mts,5,88,101,3
P05_05.mts,6,101,108,5
P05_05.mts,7,108,117,3
P05_05.mts,8,117,128,4.5
P05_05.mts,8,128,158,3
,,,,
P05_06.mts,1,33,66,5
P05_06.mts,2,66,88,4
P05_06.mts,3,88,112,5
P05_06.mts,4,112,140,1
P05_06.mts,5,140,172,5
P05_06.mts,6,172,204,5
P05_06.mts,7,204,223,5
P05_06.mts,8,223,252,5
P05_06.mts,9,252,302,5
,,,,
P05_07.mts,1,11,26,5
P05_07.mts,2,26,46,3
P05_07.mts,3,46,68,5
P05_07.mts,4,68,94,0
P05_07.mts,5,94,118,5
P05_07.mts,6,118,144,5
P05_07.mts,7,144,162,5
P05_07.mts,8,162,180,5
P05_07.mts,9,180,225,4.5
,,,,
P05_08.mts,1,48,61,5
P05_08.mts,2,61,71,5
P05_08.mts,3,71,83,3
P05_08.mts,4,83,97,1
P05_08.mts,5,97,113,5
P05_08.mts,6,113,128,5
P05_08.mts,7,128,141,5
P05_08.mts,8,141,154,5
P05_08.mts,9,154,188,5
,,,,
P05_09.mts,1,61,71,5
P05_09.mts,2,72,82,0
P05_09.mts,3,83,84,5
P05_09.mts,4,85,102,1
P05_09.mts,5,103,116,4
P05_09.mts,6,117,129,5
P05_09.mts,7,130,139,5
P05_09.mts,8,140,149,5
P05_09.mts,9,150,183,4
,,,,
P05_10.mts,1,50,60,5
P05_10.mts,2,60,69,5
P05_10.mts,3,69,79,4
P05_10.mts,4,79,90,5
P05_10.mts,5,90,100,5
P05_10.mts,6,100,109,4
P05_10.mts,7,109,118,4
P05_10.mts,8,118,125,5
P05_10.mts,9,125,157,4
