nomfichier, ngeste, framedebut, framefin, score
P10_01.mts, 1, 1, 25, 3.5
P10_01.mts, 2, 26, 49, 2.5
P10_01.mts, 3, 50, 77, 3
P10_01.mts, 4, 78, 109, 3
P10_01.mts, 5, 110, 143, 4
P10_01.mts, 6, 144, 164, 4.5
P10_01.mts, 7, 165, 187, 1
P10_01.mts, 8, 188, 209, 4
P10_01.mts, 9, 210, 262, 4.5
P10_02.mts, 1, 8, 27, 2.5
P10_02.mts, 2, 28, 50, 4
P10_02.mts, 3, 51, 66, 4.5
P10_02.mts, 4, 67, 95, 2
P10_02.mts, 5, 96, 116, 5
P10_02.mts, 6, 117, 142, 4.5
P10_02.mts, 7, 143, 162, 3
P10_02.mts, 8, 163, 176, 5
P10_02.mts, 9, 177, 226, 4.5
P10_03.mts, 1, 45, 59, 3
P10_03.mts, 2, 60, 78, 0
P10_03.mts, 3, 79, 88, 0
P10_03.mts, 4, 89, 100, 4
P10_03.mts, 5, 101, 116, 4
P10_03.mts, 6, 117, 129, 4
P10_03.mts, 7, 130, 143, 2
P10_03.mts, 8, 144, 151, 2
P10_03.mts, 9, 152, 192, 4.5
P10_04.mts, 1, 52, 66, 3.5
P10_04.mts, 2, 67, 78, 2
P10_04.mts, 3, 79, 90, 3.5
P10_04.mts, 4, 91, 101, 4
P10_04.mts, 5, 102, 112, 4
P10_04.mts, 6, 113, 127, 3.5
P10_04.mts, 7, 128, 132, 0
P10_04.mts, 8, 133, 137, 1
P10_04.mts, 9, 138, 175, 3
P10_05.mts, 1, 64, 73, 3.5
P10_05.mts, 2, 74, 87, 0
P10_05.mts, 3, 88, 96, 2
P10_05.mts, 4, 97, 102, 4
P10_05.mts, 5, 103, 112, 0
P10_05.mts, 6, 113, 119, 1
P10_05.mts, 7, 120, 131, 0
P10_05.mts, 8, 132, 133, 0
P10_05.mts, 9, 134, 172, 2
P10_06.mts, 1, 22, 47, 2.5
P10_06.mts, 2, 48, 72, 3.5 
P10_06.mts, 3, 73, 93, 4
P10_06.mts, 4, 94, 122, 3.5
P10_06.mts, 5, 123, 166, 5
P10_06.mts, 6, 167, 188, 4.5
P10_06.mts, 7, 189, 216, 1
P10_06.mts, 8, 217, 234, 4
P10_06.mts, 9, 235, 281, 4.5
P10_07.mts, 1, 18, 41, 2
P10_07.mts, 2, 42, 61, 2
P10_07.mts, 3, 62, 82, 2.5
P10_07.mts, 4, 83, 104, 4
P10_07.mts, 5, 105, 132, 5
P10_07.mts, 6, 133, 152, 5
P10_07.mts, 7, 153, 170, 4
P10_07.mts, 8, 171, 196, 0.5
P10_07.mts, 9, 197, 234, 4
P10_08.mts, 1, 42, 56, 2.5
P10_08.mts, 2, 57, 71, 1
P10_08.mts, 3, 72, 85, 2
P10_08.mts, 4, 86, 96, 4.5  
P10_08.mts, 5, 97, 112, 4.5
P10_08.mts, 6, 113, 127, 4.5
P10_08.mts, 7, 128, 141, 3
P10_08.mts, 8, 142, 149, 3.5
P10_08.mts, 9, 150, 185, 4
P10_09.mts, 1, 56, 65, 4
P10_09.mts, 2, 66, 78, 2.5
P10_09.mts, 3, 79, 89, 3.5
P10_09.mts, 4, 90, 99, 4
P10_09.mts, 5, 100, 110, 4.5
P10_09.mts, 6, 111, 123, 4.5
P10_09.mts, 7, 124, 134, 1.5
P10_09.mts, 8, 135, 141, 2
P10_09.mts, 9, 142, 175, 4
P10_10.mts, 1, 60, 67, 4 
P10_10.mts, 2, 68, 77, 3.5
P10_10.mts, 3, 78, 84, 3.5
P10_10.mts, 4, 85, 93, 4
P10_10.mts, 5, 94, 102, 2
P10_10.mts, 6, 103, 112, 1
P10_10.mts, 7, 113, 122, 2
P10_10.mts, 8, 123, 128, 2
P10_10.mts, 9, 129, 162, 3.5
